simbad_id,ra_deg,dec_deg,n_refs,n_matched,n_failed,status
[GGH2002] EIS J033259.11-280344.2,53.24627044278,-28.062281857119995,270,257,0,ok
[MBR2003] CDFS-H 3512,53.36629567236,-27.82998631005,271,262,0,ok
2MASS J03322363-2746567,53.09846592584,-27.782468775560005,276,260,0,ok
2MASS J03320023-2739053,53.00105332218,-27.65151184179,245,232,0,ok
2MASS J03330191-2741257,53.257958333333335,-27.6905,260,0,0,no_match
2MASS J03332245-2743518,53.34363443556,-27.73109181372,247,234,0,ok
[WDK2001] 16559,52.92452078636,-27.93820361747,257,241,0,ok
2MASS J03321598-2753505,53.06663957266,-27.897323709050003,281,262,0,ok
[MBR2003] CDFS-H  333,53.08833567698001,-27.61577432864,265,256,0,ok
[MBR2003] CDFS-H  143,52.86963027703,-27.58637940868,264,250,0,ok
[MBR2003] CDFS-H  194,52.98820276417,-27.61076645706,275,262,0,ok
2MASS J03312358-2757244,52.84827743834,-27.956820089939995,276,262,0,ok
[GGH2002] EIS J033340.17-273646.2,53.41734176922,-27.61282775511,279,271,0,ok
[WDK2001] 29349,52.91113455568,-27.833464324020003,260,245,0,ok
[GGH2002] EIS J033140.60-275943.1,52.91917129017,-27.99530126029,260,244,0,ok
[MBR2003] CDFS-H 3609,52.92239569944,-27.91304962869,238,218,0,ok
[GGH2002] EIS J033322.96-280348.9,53.34567898366,-28.06356666041,267,254,0,ok
[GGH2002] EIS J033316.08-280357.3,53.31701032171,-28.06588872078,256,245,0,ok
2MASS J03324170-2736568,53.17380687509,-27.61587880035,272,257,0,ok
[GGH2002] EIS J033319.56-273627.7,53.33145443586,-27.607690710370004,268,255,0,ok
2MASS J03323103-2733029,53.12928440785,-27.55084297892,267,256,0,ok
[MBR2003] CDFS-H 2564,53.34890180334,-27.78196860894,261,249,0,ok
EIS-DEEP CDFS-1 J 1    1,53.03157276521,-27.811350224420003,285,268,0,ok
[WDK2001]  8101,53.10227863517999,-28.00718959648,261,247,0,ok
[GGH2002] EIS J033334.26-280019.6,53.39270948449,-28.005417797309995,276,263,0,ok
2MASS J03331165-2737538,53.29855965084,-27.631637982670004,275,262,0,ok
2MASS J03321963-2802570,53.08181952461,-28.04918575334,287,276,0,ok
[GGH2002] EIS J033311.17-273603.8,53.29649769935,-27.60104219558,274,264,0,ok
GOODS J033201.16-274129.0,53.00479894208,-27.691472165360004,257,35,0,ok
2MASS J03312605-2758093,52.85867197904,-27.969199904100005,282,266,0,ok
[WDK2001] 51022,52.98688045853,-27.66430148138,254,241,0,ok
2MASS J03331152-2758569,53.29800052801999,-27.98248799667,267,253,0,ok
[WDK2001] 13825,52.96346452659,-27.96200653543,265,250,0,ok
[MBR2003] CDFS-H 2847,53.01269424033,-27.81912136719,278,260,0,ok
VCDFS  16203,53.00778746184,-27.90278484715,266,249,0,ok
2MASS J03314815-2732531,52.95060676197,-27.54809756791,275,259,0,ok
[GGH2002] EIS J033318.25-273943.6,53.32600304525,-27.66209872403,277,263,0,ok
2MASS J03313603-2735342,52.90009455452,-27.59288722805,272,260,0,ok
2MASS J03314363-2743497,52.93182088116999,-27.73050430423,276,260,0,ok
[WDK2001] 57036,53.26911099244,-27.616483841470004,264,254,0,ok
[GGH2002] EIS J033125.60-280359.5,52.85661880371,-28.066556688660004,277,263,0,ok
[WDK2001] 15934,53.14790481379,-27.94401616094,257,238,0,ok
[GGH2002] EIS J033116.29-274754.1,52.81786866444,-27.79834559021,272,255,0,ok
[GGH2002] EIS J033126.63-280255.9,52.8609451181,-28.04887973859,281,265,0,ok
2MASS J03311997-2748047,52.83320500440999,-27.80133472252,270,255,0,ok
VCDFS  34451,53.20687813205,-27.69305128654,275,259,0,ok
[WDK2001] 38393,52.92076672772,-27.76075438708,255,240,0,ok
2MASS J03333224-2749238,53.38436935519,-27.82329271885,270,253,0,ok
2MASS J03320308-2736455,53.01284942597,-27.612632393180004,266,254,0,ok
2MASS J03323738-2800129,53.155767516530005,-28.00370214195,280,266,0,ok
EIS-DEEP CDFS-3 J 1  476,53.04199137449,-27.818774929110003,278,261,0,ok
[TBV2008] 7,52.81811657633,-27.95972569393,278,263,0,ok
2MASS J03330482-2758422,53.27009315454,-27.978433384310005,267,251,0,ok
[GGH2002] EIS J033342.26-274627.1,53.42605118413,-27.774174088359995,267,258,0,ok
2MASS J03325451-2746161,53.22718569313,-27.77117976111,255,238,0,ok
GOODS J033230.49-274142.7,53.12704559966,-27.69526574396,271,258,0,ok
[GGH2002] EIS J033217.71-280353.8,53.07378244594,-28.0649703201,279,268,0,ok
[PBM2009] s104673,53.13108193846999,-27.74314032244,263,252,0,ok
2MASS J03323077-2739447,53.12827786413,-27.66242948989,256,245,0,ok
[GGH2002] EIS J033338.87-274016.9,53.41195389269,-27.67135576914,265,257,0,ok
[WDK2001] 54049,53.09682494236,-27.63986815412,262,254,0,ok
2MASS J03331592-2749293,53.31638100161,-27.82483750409,269,253,0,ok
EIS J033338.87-274016.9,53.41191666666666,-27.671222222222216,265,257,0,ok
[PBM2009] s108014,53.05813162892,-27.73503739282,264,244,0,ok
2MASS J03333536-2756003,53.397353154520005,-27.93343059023,270,257,0,ok
2MASS J03312467-2743332,52.85274362836,-27.72593875462,276,262,0,ok
2MASS J03315417-2801149,52.97574996517,-28.020774774229995,274,260,0,ok
[WDK2001] 36398,52.8503204526,-27.77654312336,261,246,0,ok
2MASS J03311681-2739201,52.82009273371,-27.65550071706,261,245,0,ok
[MBR2003] CDFS-H  451,53.14729879712,-27.61771333149,274,264,0,ok
[GGH2002] EIS J033154.90-273421.4,52.97872013133,-27.57262596957,284,270,0,ok
[GGH2002] EIS J033116.46-273839.5,52.81855059224001,-27.64432752441,260,248,0,ok
EIS-DEEP CDFS-4 H 1 1059,53.19135441342,-27.86761890995,244,232,0,ok
2MASS J03313589-2736108,52.89952397538,-27.6030562108,260,240,0,ok
[MBR2003] CDFS-H 3489,53.32987773472,-27.815496166870005,271,214,0,ok
[SBH2004] 12596,53.13186146022999,-27.66356114092,266,254,0,ok
2MASS J03311212-2800076,52.80053788445,-28.0021142096,272,254,0,ok
2MASS J03330949-2800343,53.28938126448,-28.009503090110005,260,248,0,ok
[GGH2002] EIS J033140.22-280212.3,52.9176006755,-28.036758403080004,274,256,0,ok
[MBR2003] CDFS-H 1777,52.93737343682,-27.78015791701,268,254,0,ok
GOODS-MUSIC 17818,53.13810721532,-27.677597431879995,268,248,0,ok
[GGH2002] EIS J033207.85-273845.6,53.03270833333333,-27.646,281,162,0,ok
VCDFS  26293,52.96874920181,-27.78308207009,274,257,0,ok
2MASS J03334016-2748307,53.41733152201,-27.80857183425,271,256,0,ok
2MASS J03331235-2736424,53.30123117031,-27.611884918220003,272,256,0,ok
[WDK2001] 12009,53.04768439075999,-27.97537989875,256,240,0,ok
VCDFS  37019,53.23674375765,-27.66729013101001,279,263,0,ok
2MASS J03313883-2744228,52.91174935667,-27.739713486,269,250,0,ok
[GGH2002] EIS J033327.29-274659.9,53.36370099291,-27.78331945473,271,257,0,ok
[MBR2003] CDFS-H 4478,53.03896565621,-27.959442714049995,265,249,0,ok
[GGH2002] EIS J033151.99-275749.1,52.96662442352,-27.963563131650005,270,254,0,ok
2MASS J03330534-2800281,53.27234268344,-28.00784671083,269,252,0,ok
[GGH2002] EIS J033310.18-274338.9,53.29243721363999,-27.727470634460005,259,245,0,ok
[GGH2002] EIS J033127.93-280312.0,52.86638112437,-28.05337016479,278,262,0,ok
VCDFS  33544,52.98341855224,-27.704872444420005,258,248,0,ok
2MASS J03332194-2804129,53.34152796581,-28.0702412314,259,244,0,ok
[GGH2002] EIS J033324.39-274013.1,53.3515721066,-27.670312286289995,268,262,0,ok
2MASS J03315978-2740487,52.99908333333333,-27.68019444444445,253,240,0,ok
2MASS J03311754-2734312,52.82303573823,-27.57518337057001,281,270,0,ok
[GGH2002] EIS J033343.05-274326.0,53.42937694771,-27.72390566249,261,253,0,ok
2MASS J03332901-2734475,53.37082971937,-27.579805232650003,256,243,0,ok
[GGH2002] EIS J033155.14-280137.4,52.97975,-28.02705555555556,283,270,0,ok
2MASS J03313649-2753563,52.90204444071,-27.898989932109995,260,241,0,ok
2MASS J03312134-2740507,52.83903619647,-27.68090629381,276,257,0,ok
GOODS J033157.89-274143.7,52.99129078568,-27.69558008627,253,245,0,ok
[MBR2003] CDFS-H 4705,53.31686051836,-28.03158908471,266,254,0,ok
EIS-DEEP CDFS-2 Ks 1 2175,53.15834933556,-27.79499395998,262,247,0,ok
