simbad_id,target_ra,target_dec,visit,expMidptMJD,obsStartMJD,band_visit,airmass,zenithDistance,azimuth,mean_maglim,expTime,skyRotation,ra_visit,dec_visit,detector,band,day_obs,physical_filter,sep_arcsec,src_ra,src_dec,sourceId,parentSourceId,x,y,xErr,yErr,ra,dec,raErr,decErr,calibFlux,calibFluxErr,ap09Flux,ap09FluxErr,ap09Flux_flag,ap12Flux,ap12FluxErr,ap12Flux_flag,ap17Flux,ap17FluxErr,ap17Flux_flag,ap25Flux,ap25FluxErr,ap25Flux_flag,ap35Flux,ap35FluxErr,ap35Flux_flag,sky,skyErr,psfFlux,psfFluxErr,extendedness,sizeExtendedness,apFlux_12_0_flag,apFlux_12_0_instFlux,apFlux_12_0_instFluxErr,apFlux_17_0_flag,apFlux_17_0_instFlux,apFlux_17_0_instFluxErr,apFlux_35_0_flag,apFlux_35_0_instFlux,apFlux_35_0_instFluxErr,extendedness_flag,sizeExtendedness_flag,localBackground_instFlux,localBackground_instFluxErr,localBackground_flag,sky_source,calib_mean,calib_err,calib_local,zeropoint,visit_from_image,detector_id,detector_name
2MASS J09590766+0235461,149.78191694951,2.5961662135500005,2025051500122,60811.04208450287,60811.04191088608,i,1.3389695653925,41.7286617120772,315.863814892458,23.0947322845459,30.0009815692902,66.9260943836124,150.196619943333,2.24904378466042,-1,i,20250515,i_39,0.1942953048233883,149.78193935940934,2.596117104622361,745262191872574224,0,2122.123150161356,1999.285768373078,0.006634264,0.0075456845,149.78193935940934,2.596117104622361,4.1179024e-07,3.767989e-07,401658.5169663104,1369.7584577665386,391252.5384591414,913.1688002504668,False,400425.7925400416,1130.1648775313383,False,405846.6923825274,1520.3900598964717,False,407308.128134422,2159.3686979029944,False,407084.9870082511,2977.073233472834,False,0.6391909447066325,46.90657744864468,401906.3357304548,771.5733361684117,0.0,0.0001417971365348,False,597247.25,1685.67529296875,False,605332.6870117188,2267.7080226037147,False,607179.6411132812,4440.395286381203,False,False,0.9533727373787084,69.96258710111347,False,False,0.6690688399923819,0.0001992324460465094,0.6690688399923819,31.83632298924732,2025051500122,99,R23_S00
2MASS J09590766+0235461,149.78191694951,2.5961662135500005,2025051500123,60811.04255635306,60811.04238273554,i,1.33940659072419,41.7500538298419,315.648969791581,23.383981704711918,30.0011069774628,65.9196921779908,150.239941185581,2.17983774353643,-1,i,20250515,i_39,0.1984014042969858,149.78194122002262,2.596116721850176,745262192006792195,0,3649.429335130109,1951.521261381552,0.004833019,0.006062807,149.78194122002262,2.596116721850176,3.2641452e-07,2.810239e-07,401152.689275284,1137.736403873405,393084.1297131676,783.7610924614982,False,400722.3128523968,954.0643896273932,False,405475.6405477727,1265.4218744552854,False,408109.0287725327,1784.6965255903715,False,408470.08893533103,2444.235031995185,False,2.864526612807971,38.1006538155219,400172.2515238927,681.3191657322309,0.0,4.317882278637164e-05,False,667910.25,1590.201904296875,False,675832.9340820312,2109.1619144108336,False,680823.9782714844,4073.967380698346,False,False,4.774495017443553,63.504867083511286,False,False,0.6003876673741879,0.00017356664086810506,0.6003876673741879,31.953920593063696,2025051500123,99,R23_S00
2MASS J09590766+0235461,149.78191694951,2.5961662135500005,2025051500124,60811.0430310299,60811.042857418826,i,1.34143395204244,41.847146577369,315.473691415296,23.480789184570312,29.9999928474426,64.9421737412949,150.259178145273,2.186500413603,-1,i,20250515,i_39,0.201513860389996,149.78194232194937,2.596116304825332,745262192141009851,0,3756.686311042308,1753.6551186460806,0.004720092,0.0058548334,149.78194232194937,2.596116304825332,3.1483864e-07,2.7459055e-07,400328.1655893057,1110.9695224541367,393844.749650164,768.2697397743996,False,400155.8553148249,931.7703128224535,False,405141.9307961073,1233.974173254286,False,406821.629371103,1733.1370727939136,False,408053.3341692052,2375.82266539488,False,2.980079922730656,36.11912199027518,402470.7237728631,676.4867395734391,0.0,0.0008530779826806,False,676824.9375,1575.9993896484375,False,685258.4020642862,2087.1479989524582,False,690182.7593612298,4018.474316093306,False,False,5.040517040192503,61.09200242587877,False,False,0.5901708974646058,0.00016369745501282183,0.5901708974646058,31.97255552564553,2025051500124,99,R23_S00
2MASS J09590766+0235461,149.78191694951,2.5961662135500005,2025051500126,60811.043985125616,60811.04381150869,i,1.34841987925317,42.1788033579387,314.733928559014,23.41400146484375,30.0010056495667,62.6845216369431,150.008579191302,2.14657537822305,-1,i,20250515,i_39,0.1992442916285012,149.78194410699805,2.5961179732813364,745262192411018312,0,2480.3875017632568,2280.5945002799667,0.004889166,0.0061601424,149.78194410699805,2.5961179732813364,3.285865e-07,2.879744e-07,400898.51076116966,1165.6874011883797,392436.33155526215,798.1650353382714,False,399736.7815781473,974.8083529144046,False,402648.6467849133,1299.7027523611714,False,404021.9912301073,1831.0089652800696,False,404370.1164955455,2514.134492358406,False,1.4299864957712511,38.55825174478473,401868.2541979192,686.5192826609839,0.0,0.0004571163666559,False,664394.8125,1620.210205078125,False,669234.5676269531,2160.210934434413,False,672095.7893066406,4178.694560094396,False,False,2.376753037297709,64.0869282460459,False,False,0.6020540152821429,0.00016085080689744703,0.6020540152821429,31.95091135704393,2025051500126,102,R23_S10
2MASS J09590766+0235461,149.78191694951,2.5961662135500005,2025051500127,60811.04445870916,60811.04428509153,i,1.34727578035436,42.1246010957898,314.818484430227,23.204753875732425,30.0011277198792,61.90898188234289,150.257475514334,2.13893030476254,-1,i,20250515,i_39,0.2069043879163616,149.7819426419905,2.5961147893610383,745262192544187354,0,488.950063590615,2747.671009353035,0.0059363227,0.0068735043,149.7819426419905,2.5961147893610383,3.7082253e-07,3.4210746e-07,400790.9560555567,1401.911000979033,391313.51240461663,931.2545151227756,False,400945.3434641134,1157.030774208966,False,405822.7451525116,1561.310490626328,False,409735.3340426342,2221.0762456130656,False,413857.5206661637,3064.533367809708,False,3.618914972317413,47.67967990528969,403249.0610165609,770.8938758118755,0.0,0.0008110603361581,False,592790.9375,1710.6505126953125,False,600002.09375,2308.3712644484312,False,611881.3740234375,4530.860970746119,False,False,5.350504835991036,70.4936037080734,False,False,0.6814961663446851,0.00020565304483812684,0.6814961663446851,31.81634145720361,2025051500127,100,R23_S01
2MASS J09590766+0235461,149.78191694951,2.5961662135500005,2025051500128,60811.0449378077,60811.0447641909,i,1.35398666744178,42.4388014264473,314.484956234345,22.913116455078125,30.000983953476,60.8001529111951,150.059933281567,2.24826985799499,-1,i,20250515,i_39,0.2002713982136035,149.7819417176731,2.596116387867255,745262192679452988,0,1334.012272797009,877.2799744151404,0.007146656,0.008086614,149.7819417176731,2.596116387867255,4.3738697e-07,4.1014923e-07,397095.8474424051,1532.4661597503352,387813.26381351775,1002.5568864299124,False,399738.8658651959,1255.2985795590064,False,409809.1469096671,1703.4795661661965,False,415472.05991050747,2434.0110549621213,False,420147.9091118141,3362.791127193492,False,3.329222141804962,51.89472204049845,397545.90448031895,818.6054142565571,0.0,0.0001242085707596,False,548794.0625,1723.3760986328125,False,562619.3642578125,2338.6754487299404,False,576813.2588090897,4616.713463768676,False,False,4.570627227381576,71.24529977657362,False,False,0.7278208039386247,0.00023291648302175926,0.7278208039386247,31.74493883688333,2025051500128,102,R23_S10
2MASS J09590766+0235461,149.78191694951,2.5961662135500005,2025051500129,60811.04541385244,60811.04524023525,i,1.35846090575357,42.6456832294959,314.264557374484,23.265914916992188,30.0010495185852,59.7800649619012,149.986389229621,2.31879454970335,-1,i,20250515,i_39,0.2018180021856909,149.78194116159474,2.596115639211966,745262192810001109,0,3849.0047523094704,1523.415971614345,0.0059487633,0.0066598565,149.78194116159474,2.596115639211966,3.6040396e-07,3.4100103e-07,398591.942320669,1171.5650012676567,390677.7380556932,799.5719348313341,False,398443.6285096341,976.833794442656,False,405802.8992261919,1300.4183077591797,False,407441.1823500334,1830.8678384060795,False,406898.97503911535,2517.19767272274,False,1.029146852590888,40.05904736592591,398537.86968530895,699.4917841815031,0.0,0.0003180849657479,False,657882.5,1612.8802490234375,False,670033.6176757812,2147.160567115688,False,671843.3820800781,4156.222309588209,False,False,1.6992559443907735,66.14272218956194,False,False,0.6065722055874054,0.0001553876009924941,0.6065722055874054,31.94279373463712,2025051500129,95,R22_S12
2MASS J09590766+0235461,149.78191694951,2.5961662135500005,2025051500130,60811.04589065211,60811.04571703529,i,1.35276030118439,42.3819314943826,314.042629103233,23.07907485961914,30.0009868144989,58.7798426466038,150.205132907785,2.0191049154497,-1,i,20250515,i_39,0.1999216830023268,149.78194107614746,2.596116182532784,745262192948412787,0,2033.953385373367,1070.2618382464818,0.006907663,0.008351039,149.78194107614746,2.596116182532784,4.4376125e-07,4.0681232e-07,397421.9537951066,1479.9715645048714,385117.8663942524,973.9237882257244,False,396708.5537985828,1216.053272396458,False,402254.0915876935,1645.4471340712937,False,405039.0536142325,2349.0299254793526,False,405617.2740282385,3243.778062711588,False,1.2940759518917566,51.10793555715763,401524.3034721909,819.816754648524,0.0,0.0001584078325482,False,566422.75,1736.287841796875,False,574340.7006835938,2349.3788619780707,False,579142.671875,4631.484935420956,False,False,1.8476890713870333,72.97220371962501,False,False,0.7015741326335212,0.0002000671365782859,0.7015741326335212,31.78481607996886,2025051500130,103,R23_S11
2MASS J09590766+0235461,149.78191694951,2.5961662135500005,2025051500131,60811.04636302069,60811.04618940348,i,1.35864145819753,42.6538944636557,313.824115226244,23.29401588439941,30.0010547637939,57.755673851424106,150.090348375279,2.13982313283965,-1,i,20250515,i_39,0.197870963444073,149.78194198161782,2.596117267276512,745262193082106771,0,3331.6369806067582,1867.351720325579,0.0056458735,0.0064608036,149.78194198161782,2.596117267276512,3.46612e-07,3.2719927e-07,400654.65812628187,1197.435537184004,391540.44343330513,813.6445104707055,False,400306.9674292478,996.864169528022,False,406057.7573021511,1330.74234316273,False,410349.4991708859,1879.0546264414304,False,411790.3174477762,2581.8617558602923,False,2.850445301597776,40.20469041506165,399703.7724017229,706.2035744557269,0.0,9.252006918036848e-06,False,654535.375,1629.956298828125,False,663938.3974609375,2175.8750396078085,False,673311.6127929688,4221.559927929207,False,False,4.660716490596792,65.73803170746058,False,False,0.6097968063034268,0.0001789015027145439,0.6097968063034268,31.937037136251742,2025051500131,102,R23_S10
2MASS J09590766+0235461,149.78191694951,2.5961662135500005,2025051500132,60811.04684006958,60811.0466664529,i,1.36161902477818,42.7900092110166,313.594424871381,22.890514373779297,30.0009620189667,56.7294069862746,150.055190445815,2.14862204899509,-1,i,20250515,i_39,0.1999982554174379,149.78194166950703,2.596116448688859,745262193216324531,0,2851.809419302709,2480.6177817513017,0.006799556,0.007423794,149.78194166950703,2.596116448688859,4.0229094e-07,3.885539e-07,400029.5579003762,1735.6947029157784,392797.01385283656,1126.84891297041,False,400943.5077859307,1421.545610960996,False,406826.2531185848,1944.34570987636,False,411712.8590114881,2791.0941991178056,False,412623.483497515,3866.871349494278,False,3.525589765068622,61.279120055146045,400611.7445680344,861.4674978505128,0.0,2.77215183458468e-05,False,507218.03125,1798.342041015625,False,514660.0634765625,2459.7161043431097,False,521993.9140625,4891.828486806946,False,False,4.460086433393564,77.52183045123307,False,False,0.786916243052376,0.00027689832079463286,0.786916243052376,31.660178725379136,2025051500132,102,R23_S10
