simbad_id,target_ra,target_dec,visit,expMidptMJD,obsStartMJD,band_visit,airmass,zenithDistance,azimuth,mean_maglim,expTime,skyRotation,ra_visit,dec_visit,detector,band,day_obs,physical_filter,sep_arcsec,src_ra,src_dec,sourceId,parentSourceId,x,y,xErr,yErr,ra,dec,raErr,decErr,calibFlux,calibFluxErr,ap09Flux,ap09FluxErr,ap09Flux_flag,ap12Flux,ap12FluxErr,ap12Flux_flag,ap17Flux,ap17FluxErr,ap17Flux_flag,ap25Flux,ap25FluxErr,ap25Flux_flag,ap35Flux,ap35FluxErr,ap35Flux_flag,sky,skyErr,psfFlux,psfFluxErr,extendedness,sizeExtendedness,apFlux_12_0_flag,apFlux_12_0_instFlux,apFlux_12_0_instFluxErr,apFlux_17_0_flag,apFlux_17_0_instFlux,apFlux_17_0_instFluxErr,apFlux_35_0_flag,apFlux_35_0_instFlux,apFlux_35_0_instFluxErr,extendedness_flag,sizeExtendedness_flag,localBackground_instFlux,localBackground_instFluxErr,localBackground_flag,sky_source
2MASS J10005451+0216050,150.22711731319,2.2680931185299995,2025051500122,60811.04208450287,60811.04191088608,i,1.3389695653925,41.7286617120772,315.863814892458,23.0947322845459,30.0009815692902,66.9260943836124,150.196619943333,2.24904378466042,-1,i,20250515,i_39,0.611073836661165,150.22695172131492,2.268130998251712,745262191869953228,0,2029.6958475835816,2818.687258041031,0.013094912,0.0146605875,150.22695172131492,2.268130998251712,8.018634e-07,7.4179695e-07,163243.01658519296,1296.9822907881069,158962.44385992983,811.5831114151565,False,163858.19812505305,1046.6457448669928,False,167644.57033269468,1456.876784317993,False,168856.5708428168,2110.866426681742,False,173269.38582205604,2937.571939214226,False,1.984197141684782,46.65571722359609,163467.02551137828,593.0380571738189,0.0,0.0002670403222255,False,244311.8125,1560.5439453125,False,249957.27587890625,2172.1965201537287,False,258343.84965372088,4379.906120234807,False,False,2.958428724282492,69.56345772632692,False,False
2MASS J10005451+0216050,150.22711731319,2.2680931185299995,2025051500123,60811.04255635306,60811.04238273554,i,1.33940659072419,41.7500538298419,315.648969791581,23.383981704711914,30.0011069774628,65.9196921779908,150.239941185581,2.17983774353643,-1,i,20250515,i_39,0.6038201427868871,150.2269528391098,2.268126633704969,745262192004171106,0,3468.901048583793,2620.502898480265,0.008616857,0.010187609,150.2269528391098,2.268126633704969,5.5247756e-07,4.944463e-07,166225.36623495596,1077.6771110114548,162067.92418988876,688.4989744228976,False,165481.14002172035,877.7317063042833,False,167317.0683793055,1210.9365729931617,False,169013.09355847118,1744.96006554961,False,170086.63686211134,2426.062674089124,False,0.7871000311202708,38.58770843294639,164735.36577004168,490.1510160092242,0.0,8.559809961805609e-05,False,274780.46875,1457.4683837890625,False,277829.0170898437,2010.7531233462937,False,282427.86941730976,4028.462933694972,False,False,1.306975015255392,64.07466500292186,False,False
2MASS J10005451+0216050,150.22711731319,2.2680931185299995,2025051500124,60811.0430310299,60811.042857418826,i,1.34143395204244,41.847146577369,315.473691415296,23.480789184570312,29.9999928474426,64.9421737412949,150.259178145273,2.186500413603,-1,i,20250515,i_39,0.6041187957563935,150.2269524764734,2.268125241261584,745262192138388738,0,3493.693942807837,2274.132321443644,0.0076579163,0.009839326,150.2269524764734,2.268125241261584,5.2699164e-07,4.4973223e-07,164737.0097755881,1035.84616178559,162886.65567579438,665.1892327415633,False,164498.0836080788,844.9510353912063,False,165771.94965033676,1163.8330710680675,False,169351.99474359493,1676.579496655959,False,168558.546498285,2326.829619345416,False,2.35741605973254,35.94881560439943,163847.07728343524,471.3940869605788,0.0,0.0006854388700746,False,278853.4375,1432.3419189453125,False,281012.8664550781,1972.903546504135,False,285736.6425194144,3944.38903845941,False,False,3.9962384816611887,60.93962060508832,False,False
2MASS J10005451+0216050,150.22711731319,2.2680931185299995,2025051500125,60811.04351116055,60811.043337543146,i,1.34177186520949,41.8631375989711,315.055045014038,23.453569412231445,30.001086473465,63.78252165020189,150.201346740288,2.02906366294868,-1,i,20250515,i_39,0.5984447465174545,150.2269546831055,2.268128144800954,745262192274702495,0,1337.9755403222368,272.80523065547624,0.00788647,0.010153789,150.2269546831055,2.268128144800954,5.418145e-07,4.6563756e-07,162740.93187421022,1074.3588319530866,161406.10937524162,688.5316618749073,False,163984.23301777788,877.8418319754695,False,167250.31351729322,1209.6838752339434,False,169962.9454729473,1748.4201479923372,False,175877.94494326902,2428.2307824560803,False,2.9926188472341373,39.00918170290591,163509.7289112876,479.0701077182719,0.0,6.682637841981531e-07,False,273515.90625,1464.187744140625,False,278963.5334472656,2017.6804520880607,False,293353.9073560238,4050.143912162692,False,False,4.991509494533764,65.06498514637386,False,False
2MASS J10005451+0216050,150.22711731319,2.2680931185299995,2025051500126,60811.043985125616,60811.04381150869,i,1.34841987925317,42.1788033579387,314.733928559014,23.41400146484375,30.0010056495667,62.6845216369431,150.008579191302,2.14657537822305,-1,i,20250515,i_39,0.6055335259060276,150.22695265798947,2.268128098975039,745262192408397127,0,2037.489420605838,2452.3612011976693,0.008211953,0.0104682725,150.22695265798947,2.268128098975039,5.5740867e-07,4.855852e-07,165697.50616647128,1080.4253995889703,162160.34114528826,690.7101558567267,False,165079.04728777788,881.0666698874529,False,166551.59633995048,1217.7601797364755,False,168855.00858782328,1758.655155054943,False,172384.0987604671,2440.901899613229,False,1.1397569515467352,39.34568431872252,165444.55674426263,487.5436214865648,0.0,0.0003874690078111,False,276739.5625,1477.0257568359375,False,279208.1530761719,2041.460893475514,False,288985.7971482277,4091.9434349945886,False,False,1.9106957867131449,65.95935488799337,False,False
2MASS J10005451+0216050,150.22711731319,2.2680931185299995,2025051500128,60811.0449378077,60811.0447641909,i,1.35398666744178,42.4388014264473,314.484956234345,22.913116455078125,30.000983953476,60.8001529111951,150.059933281567,2.24826985799499,-1,i,20250515,i_39,0.6050581404980027,150.2269523299944,2.2681258488734275,745262192676831519,0,754.221965771208,751.1444349909607,0.013917222,0.0145428805,150.2269523299944,2.2681258488734275,7.999086e-07,7.8183007e-07,162646.5466390326,1512.224546518814,158760.19942013855,937.3258770979504,False,163884.46546958853,1215.7942055796163,False,168788.8053139595,1699.368908009546,False,170140.14842234645,2470.124864056082,False,176299.8608237272,3441.127900879662,False,2.958195906587696,53.41442611483247,162435.08810890492,639.7202846139527,0.0,0.0001387742678082,False,221412.140625,1642.5693359375,False,228038.0302734375,2295.8912338386563,False,238185.66003203392,4649.052565873385,False,False,3.996598983246748,72.1642676287435,False,False
2MASS J10005451+0216050,150.22711731319,2.2680931185299995,2025051500129,60811.04541385244,60811.04524023525,i,1.35846090575357,42.6456832294959,314.264557374484,23.265914916992188,30.0010495185852,59.7800649619012,149.986389229621,2.31879454970335,-1,i,20250515,i_39,0.6067530464298014,150.22695160834408,2.2681246064387257,745262192810525247,0,3174.220057538735,1227.6180260834014,0.010730813,0.011459635,150.22695160834408,2.2681246064387257,6.2667596e-07,6.0686426e-07,161803.09805335812,1128.443432457432,159932.71678388515,716.1713797866053,False,162496.02902142025,916.4115652330504,False,165186.10464450406,1268.529936276047,False,166606.8182842309,1832.692626347392,False,168569.12566400226,2549.248591251542,False,1.6960164680019094,40.261971730198624,164087.98558871288,517.0157015413287,0.0,2.108368096365165e-05,False,265787.0,1498.9306640625,False,270187.0283203125,2074.8738797091305,False,275720.4743566513,4169.684264922301,False,False,2.774093199049201,65.85458576863856,False,False
2MASS J10005451+0216050,150.22711731319,2.2680931185299995,2025051500130,60811.04589065211,60811.04571703529,i,1.35276030118439,42.3819314943826,314.042629103233,23.07907485961914,30.0009868144989,58.7798426466038,150.205132907785,2.0191049154497,-1,i,20250515,i_39,0.609477405470969,150.2269507906446,2.268124358232724,745262192945791228,0,1315.8892921275078,619.8614332369897,0.011561081,0.01585096,150.2269507906446,2.268124358232724,8.2318763e-07,7.147344e-07,163907.28711922982,1358.744470957623,159402.62562401706,851.1439305599564,False,164301.48408142786,1099.9080744249,False,167306.47195615963,1531.5957004842471,False,170645.97295703675,2223.099706828388,False,170769.63413237798,3093.241073234165,False,1.5037663512789528,48.61205289066573,163775.44006639512,603.0993115307209,0.0,0.0001740356632482,False,238520.625,1596.764404296875,False,242883.0419921875,2223.456262548208,False,247910.60222005844,4490.536395263655,False,False,2.183055691592316,70.57134817034381,False,False
2MASS J10005451+0216050,150.22711731319,2.2680931185299995,2025051500131,60811.046363020694,60811.04618940348,i,1.35864145819753,42.6538944636557,313.824115226244,23.294015884399414,30.0010547637939,57.755673851424106,150.090348375279,2.13982313283965,-1,i,20250515,i_39,0.6088729098839557,150.2269512056481,2.268125628801873,745262193079485027,0,2545.460958943327,1256.804560738222,0.009365197,0.011234077,150.2269512056481,2.268125628801873,5.963184e-07,5.5217595e-07,162408.15082770443,1108.0547216623168,159939.1391972355,703.6874590098728,False,163774.31613923112,899.8214045668908,False,167347.6247674425,1246.4305477216585,False,168472.311774223,1796.780962877329,False,172527.5923279165,2498.838234661671,False,2.1938245311203426,38.43445680958243,165133.3854131898,510.3929149898607,0.0,0.0004814306689497,False,270534.09375,1486.38916015625,False,276436.7397460937,2058.94285868076,False,284993.3795334697,4127.759182137768,False,False,3.623915796837147,63.4887764264226,False,False
2MASS J10005451+0216050,150.22711731319,2.2680931185299995,2025051500132,60811.04684006958,60811.0466664529,i,1.36161902477818,42.7900092110166,313.594424871381,22.890514373779297,30.0009620189667,56.7294069862746,150.055190445815,2.14862204899509,-1,i,20250515,i_39,0.6084682852698147,150.2269509637644,2.268123755453956,745262193213702746,0,2002.2305585068952,1702.65845901764,0.013188765,0.0143326605,150.2269509637644,2.268123755453956,7.776904e-07,7.526852e-07,162665.63117792405,1907.3358774012631,158544.27491332876,1173.879220198476,False,159866.485945246,1533.577960285177,False,158777.26619827558,2157.623769581204,False,157065.57639047908,3143.878704544751,False,154648.03841295914,4388.4248366383845,False,-2.05262859030487,69.95711237595424,163310.83820985124,712.4693375921825,0.0,0.0005755368778112,False,184791.5625,1772.680908203125,False,183532.5205078125,2494.022842314858,False,178759.49725747108,5072.632188549896,False,False,-2.3726576723812007,80.86425386474257,False,False
