simbad_id,target_ra,target_dec,visit,expMidptMJD,obsStartMJD,band_visit,airmass,mean_seeing,mean_maglim,expTime,zenithDistance,detector,band,day_obs,physical_filter,sep_arcsec,src_ra,src_dec,sourceId,parentSourceId,x,y,xErr,yErr,ra,dec,raErr,decErr,calibFlux,calibFluxErr,ap09Flux,ap09FluxErr,ap09Flux_flag,ap12Flux,ap12FluxErr,ap12Flux_flag,ap17Flux,ap17FluxErr,ap17Flux_flag,ap25Flux,ap25FluxErr,ap25Flux_flag,ap35Flux,ap35FluxErr,ap35Flux_flag,sky,skyErr,psfFlux,psfFluxErr,extendedness,sizeExtendedness,apFlux_12_0_flag,apFlux_12_0_instFlux,apFlux_12_0_instFluxErr,apFlux_17_0_flag,apFlux_17_0_instFlux,apFlux_17_0_instFluxErr,apFlux_35_0_flag,apFlux_35_0_instFlux,apFlux_35_0_instFluxErr,extendedness_flag,sizeExtendedness_flag,localBackground_instFlux,localBackground_instFluxErr,localBackground_flag,sky_source
SDSS J100158.92+021246.1,150.49553378305,2.2128088596900004,2025051500122,60811.04208450287,60811.04191088608,i,1.3389695653925,1.0850806482130058,23.0947322845459,30.0009815692902,41.7286617120772,-1,i,20250515,i_39,0.2266407457691825,150.49552168076508,2.2127470763499613,745262191871001805,0,3443.425212806077,2640.8750163832115,0.017812105,0.01975881,150.49552168076508,2.2127470763499613,1.0818183e-06,1.0073637e-06,112345.12137450124,1283.982509209031,108725.77701429518,790.34698801891,False,112262.0451360038,1029.5021259885073,False,114173.9576510592,1443.4586363946412,False,113365.5474579997,2099.4190266652886,False,108714.05490500807,2927.5485037344542,False,-2.06662145582999,45.69733282611706,110856.96337485575,544.4151180464113,0.0,1.5804203767899597e-07,False,167344.09375,1534.633544921875,False,170194.09765625,2151.700310469425,False,162055.2607421875,4363.967810074139,False,False,-3.0806217206465374,68.11900441787108,False,False
SDSS J100158.92+021246.1,150.49553378305,2.2128088596900004,2025051500123,60811.04255635306,60811.04238273554,i,1.33940659072419,0.9785318393007805,23.383981704711914,30.0011069774628,41.7500538298419,-1,i,20250515,i_39,0.2311960555469369,150.49552121856166,2.212745877771395,745262192005743843,0,585.6612031332111,2393.3210514612106,0.011527502,0.013949198,150.49552121856166,2.212745877771395,7.541379e-07,6.6508585e-07,112711.5969143975,1065.543012020196,109780.5354581512,666.711591199603,False,112037.8108715914,862.0166640985994,False,113773.52079195106,1203.6282747271534,False,112096.7580640898,1745.6068902299758,False,112178.33224292893,2430.166001402853,False,-0.3751104622432317,37.883430261525405,111210.68387308528,439.5118956587107,0.0,6.837854887353778e-05,False,185768.765625,1429.3011474609375,False,188646.7287597656,1995.7239179162452,False,186001.7626953125,4029.433767336493,False,False,-0.621966878876402,62.81413410862,False,False
SDSS J100158.92+021246.1,150.49553378305,2.2128088596900004,2025051500124,60811.0430310299,60811.042857418826,i,1.34143395204244,0.9531145823565652,23.480789184570312,29.9999928474426,41.847146577369,-1,i,20250515,i_39,0.2390691596608965,150.49551839306676,2.212744256770232,745262192139961464,0,543.2173367165482,1997.01770625377,0.01017502,0.012907326,150.49551839306676,2.212744256770232,6.921836e-07,5.957363e-07,111926.51822156644,1016.335981979155,108329.98895861798,640.2627187564862,False,111079.36230082,825.6513018024449,False,112074.93928761595,1146.2882577374214,False,109556.5427067662,1664.9727714082476,False,108002.00685568378,2315.3165071192657,False,-1.0043174738885223,36.83543431614666,109637.9941381218,413.9870907621595,0.0,3.000473993430841e-05,False,188795.890625,1403.317138671875,False,190488.0217285156,1948.287315031862,False,183565.46752929688,3935.224626664237,False,False,-1.7069868607954195,62.60729701924351,False,False
SDSS J100158.92+021246.1,150.49553378305,2.2128088596900004,2025051500126,60811.043985125616,60811.04381150869,i,1.34841987925317,0.9682388712714287,23.41400146484375,30.0010056495667,42.1788033579387,-1,i,20250515,i_39,0.2346245228066979,150.49552144836784,2.212744862309296,745262192428319929,0,3160.373101784755,2034.479648681092,0.011456479,0.013744484,150.49552144836784,2.212744862309296,7.3856063e-07,6.653374e-07,112525.1911341778,1058.9065980732853,108763.26334230782,663.184321579587,False,111872.4560699934,857.9385705340436,False,111896.42772274266,1198.5118840177188,False,111593.58803841636,1740.0452098658486,False,111729.8331906293,2420.468624173528,False,-0.3804264370908679,38.38839250772866,110580.60591664996,432.06339666745936,0.0,5.134585855370855e-05,False,187856.109375,1440.6495361328125,False,187896.36254882807,2012.5398822960085,False,187616.6171875,4064.4483421103528,False,False,-0.6388116689828552,64.46174791362772,False,False
SDSS J100158.92+021246.1,150.49553378305,2.2128088596900004,2025051500127,60811.04445870916,60811.04428509153,i,1.34727578035436,0.9974450575472633,23.204753875732422,30.0011277198792,42.1246010957898,-1,i,20250515,i_39,0.2285029118690356,150.4955214071187,2.212746603041104,745262192542614597,0,1054.7755823396767,2362.1006868810514,0.014061623,0.015661865,150.4955214071187,2.212746603041104,8.512191e-07,8.020428e-07,112524.22268404171,1249.7415866219162,108331.80349050378,772.1517897341768,False,112381.22810427436,1005.65788408283,False,113425.23928316668,1408.396516740637,False,113349.24736563682,2050.7893530472934,False,109182.25046597177,2855.945393310221,False,-0.0035705276382481,44.39667870525841,109705.90129259604,493.12949871770513,0.0,0.0008687231669745,False,171338.078125,1533.2408447265625,False,172929.79296875,2147.2621049520903,False,166460.86962890625,4354.216475243422,False,False,-0.0054436791068165,67.68783125802811,False,False
SDSS J100158.92+021246.1,150.49553378305,2.2128088596900004,2025051500128,60811.0449378077,60811.0447641909,i,1.35398666744178,1.1048650746143738,22.913116455078125,30.000983953476,42.4388014264473,-1,i,20250515,i_39,0.226338827630934,150.4955217321953,2.212747151758787,745262192696754276,0,1750.298764261654,230.55445136147856,0.019521696,0.020426877,150.4955217321953,2.212747151758787,1.122997e-06,1.096785e-06,112267.12904859205,1517.5679187570702,108720.11124609131,927.037625429062,False,112589.86353297927,1214.18020527717,False,113736.60403152715,1710.5934062106105,False,118394.808943016,2495.6590927698394,False,122903.59631791616,3482.198128707032,False,3.824378544083855,54.89727912724794,111096.42146980672,609.7904891551751,0.0,3.1849750735668536e-06,False,151062.28125,1629.070556640625,False,152600.86767578125,2295.110182433889,False,164900.2587890625,4672.079497928191,False,False,5.131184363356458,73.65590435191321,False,False
SDSS J100158.92+021246.1,150.49553378305,2.2128088596900004,2025051500131,60811.046363020694,60811.04618940348,i,1.35864145819753,1.0005761338518304,23.294015884399414,30.0010547637939,42.6538944636557,-1,i,20250515,i_39,0.2256984851689342,150.49552243430378,2.212747199828133,745262193099407645,0,3348.8838031153814,556.878453794072,0.012619784,0.01505381,150.49552243430378,2.212747199828133,8.0009244e-07,7.422736e-07,110862.05511455088,1096.0291547930312,108152.89585448892,684.5702490680828,False,111928.9854788609,887.0073156951865,False,114951.86852299578,1235.7009506482443,False,114134.11095290694,1796.65889156973,False,114033.54609891854,2502.5116257230948,False,0.2421589177164459,40.440261724584055,110140.57612915862,454.0064801111832,0.0,9.818250601201228e-06,False,184252.53125,1460.152099609375,False,189228.66723632807,2034.1560950534176,False,187716.9655942917,4119.523638576317,False,False,0.398631269309971,66.57096511050173,False,False
SDSS J100158.92+021246.1,150.49553378305,2.2128088596900004,2025051500132,60811.04684006958,60811.0466664529,i,1.36161902477818,0.9624039359422879,22.890514373779297,30.0009620189667,42.7900092110166,-1,i,20250515,i_39,0.2226019939231021,150.4955200689636,2.2127485634726947,745262193233625463,0,2743.1534172436805,941.8134743009502,0.019217074,0.020648288,150.4955200689636,2.2127485634726947,1.1237296e-06,1.0923054e-06,116040.00792814794,2074.6182192362157,110068.9149788908,1260.4508049976491,False,113359.20814539705,1661.5319991381764,False,111835.23402651922,2350.9095520231576,False,106006.6661409158,3436.025561789773,False,102405.68700045686,4798.977800338971,False,-4.241149164320356,77.24111633335664,111292.18363686852,706.6510201562745,0.0,0.0001455265961245,False,123163.796875,1805.2401123046875,False,121508.01220703124,2554.2428469110164,False,111262.89111328124,5214.047775020413,False,False,-4.607971798117562,83.92180324934698,False,False
SDSS J100158.92+021246.1,150.49553378305,2.2128088596900004,2025051500133,60811.04731837158,60811.04714475416,i,1.363066449104,1.0061160034947638,22.856348037719727,30.0010902881622,42.8558764213545,-1,i,20250515,i_39,0.2175888555606241,150.49552091815988,2.2127498012615097,745262193367844047,0,3521.392935315303,2897.850452498916,0.017418902,0.017569263,150.49552091815988,2.2127498012615097,9.733766e-07,9.705002e-07,112153.63616264114,1624.2357244788814,107632.82572633392,992.9375566254986,False,109399.2676477589,1302.2360722406995,False,108997.08299601632,1834.9311864042843,False,102971.85564254133,2678.1644543023704,False,99930.51945948192,3738.871328775173,False,-3.698205357266656,60.67464278722578,109361.59239783238,595.0298121608563,0.0,1.2171030465357724e-05,False,138989.90625,1654.46875,False,138478.9375,2331.24881964196,False,126960.02294921876,4750.17234247381,False,False,-4.698506918298096,77.08610024613367,False,False
SDSS J100158.92+021246.1,150.49553378305,2.2128088596900004,2025051500135,60811.048288111924,60811.0481145032,i,1.36747545649778,0.9857838942235843,23.341251373291016,29.9995868206024,43.0555991841302,-1,i,20250515,i_39,0.2301659241373892,150.49552141308132,2.2127461309603884,745262193615831711,0,3322.662503800987,1251.2602579667532,0.01309642,0.012551378,150.49552141308132,2.2127461309603884,7.080855e-07,7.174352e-07,114847.56278105556,1087.37769902147,109375.8575750351,678.6476910814871,False,113127.263504181,878.8083516302715,False,113903.98969030147,1226.3915813621943,False,111124.37039581516,1780.32461351649,False,111289.14568443224,2479.6883148314687,False,-1.0846965050090294,39.22566008993834,110948.29813793776,443.8879322406006,0.0,0.0022406136333571,False,187847.15625,1459.256103515625,False,189136.90551757807,2036.416013893189,False,184794.97241210935,4117.507874750552,False,False,-1.801132172287801,65.13397806755673,False,False
