simbad_id,target_ra,target_dec,visit,expMidptMJD,obsStartMJD,band_visit,airmass,zenithDistance,azimuth,mean_maglim,expTime,skyRotation,ra_visit,dec_visit,detector,band,day_obs,physical_filter,sep_arcsec,src_ra,src_dec,sourceId,parentSourceId,x,y,xErr,yErr,ra,dec,raErr,decErr,calibFlux,calibFluxErr,ap09Flux,ap09FluxErr,ap09Flux_flag,ap12Flux,ap12FluxErr,ap12Flux_flag,ap17Flux,ap17FluxErr,ap17Flux_flag,ap25Flux,ap25FluxErr,ap25Flux_flag,ap35Flux,ap35FluxErr,ap35Flux_flag,sky,skyErr,psfFlux,psfFluxErr,extendedness,sizeExtendedness,apFlux_12_0_flag,apFlux_12_0_instFlux,apFlux_12_0_instFluxErr,apFlux_17_0_flag,apFlux_17_0_instFlux,apFlux_17_0_instFluxErr,apFlux_35_0_flag,apFlux_35_0_instFlux,apFlux_35_0_instFluxErr,extendedness_flag,sizeExtendedness_flag,localBackground_instFlux,localBackground_instFluxErr,localBackground_flag,sky_source,calib_mean,calib_err,calib_local,zeropoint,visit_from_image,detector_id,detector_name
2MASS J10002097+0144317,150.0874096043221,1.7421181612676,2025051500122,60811.04208450287,60811.04191088608,i,1.3389695653925,41.7286617120772,315.863814892458,23.0947322845459,30.0009815692902,66.9260943836124,150.196619943333,2.24904378466042,-1,i,20250515,i_39,0.7622209631194818,150.0872119186129,1.7421942220681097,745262191864185240,0,2788.708033865272,1011.6594346282172,0.0046278834,0.0046095396,150.0872119186129,1.7421942220681097,2.5627162e-07,2.5691872e-07,805842.699939995,1440.1034685766183,784333.8058921152,1037.2281938677902,False,805437.5480169851,1226.570628593055,False,817650.1033770846,1578.3310598050325,False,823507.823254616,2173.8243118889004,False,824205.7477263663,2952.0596439186515,False,2.609925711870141,45.67656324930562,805817.0148991644,1015.5344958459827,0.0,0.0014554704279428,False,1219701.875,1857.438232421875,False,1238195.7690429688,2390.121192828148,False,1248123.2075195312,4470.405795786765,False,False,3.952300575278856,69.16959604863034,False,False,0.6585191514748925,0.00020008959953327253,0.6585191514748925,31.853578975222007,2025051500122,83,R21_S02
2MASS J10002097+0144317,150.0874096043221,1.7421181612676,2025051500123,60811.04255635306,60811.04238273554,i,1.33940659072419,41.7500538298419,315.648969791581,23.383981704711918,30.0011069774628,65.9196921779908,150.239941185581,2.17983774353643,-1,i,20250515,i_39,0.762469569569355,150.08721279878526,1.7421966558044666,745262192002072888,0,82.46932122119978,679.1203409291786,0.0036299143,0.0040204264,150.08721279878526,1.7421966558044666,2.1989588e-07,2.0547283e-07,802267.0487494608,1269.6052063997229,788487.134994848,945.2354423857296,False,802229.606443397,1096.8766210077451,False,811307.2581247778,1385.7953449016345,False,815852.4844168219,1881.0925502305388,False,821296.3809888192,2538.6361051922045,False,5.145374848308439,39.55215853349251,794344.9312834564,934.1391750154396,0.0,0.0002574008933083,False,1325199.375,1811.9254150390625,False,1340194.7058105469,2289.1889182241625,False,1356695.6916503906,4193.561236000721,False,False,8.499620904480004,65.33602767524313,False,False,0.6047151038405323,0.00021277003645296886,0.6047151038405323,31.946122959944212,2025051500123,90,R22_S00
2MASS J10002097+0144317,150.0874096043221,1.7421181612676,2025051500124,60811.0430310299,60811.042857418826,i,1.34143395204244,41.847146577369,315.473691415296,23.480789184570312,29.9999928474426,64.9421737412949,150.259178145273,2.186500413603,-1,i,20250515,i_39,0.7623298616978603,150.08721181636645,1.7421940404957292,745262192136290395,0,214.00243025566,203.46466373669847,0.0036859994,0.0038069764,150.08721181636645,1.7421940404957292,2.1031866e-07,2.0601294e-07,803682.72901513,1213.3366789596237,787840.6987630988,913.5135157208208,False,802854.384967027,1053.9127084000786,False,811496.118407885,1320.476263766971,False,815471.0895910823,1782.0733581019324,False,814972.1722907674,2396.695025646654,False,4.775256631011587,37.58114528227576,792702.0600724146,919.872256768844,0.0,0.0045175989985791,False,1370179.0,1798.643798828125,False,1384927.280517578,2253.5703615622297,False,1390859.6340332031,4090.2824410436215,False,False,8.14961776124763,64.13727946922543,False,False,0.5884851996160934,0.00018929533756039494,0.5884851996160934,31.97566113793874,2025051500124,90,R22_S00
2MASS J10002097+0144317,150.0874096043221,1.7421181612676,2025051500125,60811.04351116055,60811.043337543146,i,1.34177186520949,41.8631375989711,315.055045014038,23.453569412231445,30.001086473465,63.78252165020189,150.201346740288,2.02906366294868,-1,i,20250515,i_39,0.7642915646483841,150.0872113734776,1.7421944076156977,745262192270509176,0,2410.407708610069,2280.4694477855933,0.003432708,0.0038150211,150.0872113734776,1.7421944076156977,2.0796656e-07,1.9507603e-07,803362.6322967793,1257.9344811888536,788206.1335978078,940.6373681188855,False,801862.099404078,1090.181652770362,False,809399.0289997209,1375.054656119535,False,813328.755725433,1869.0622640545305,False,815054.5038083917,2514.6860348189043,False,5.01670857376065,38.80618267128996,792648.5138170221,931.0003931184812,0.0,0.0028269657680162,False,1337365.0,1818.2313232421875,False,1349935.2734375,2293.3494070214306,False,1359367.6110839844,4194.054178960339,False,False,8.36698787326834,64.72188986954103,False,False,0.5977693962763196,0.00024231837596387258,0.5977693962763196,31.958665807753977,2025051500125,90,R22_S00
2MASS J10002097+0144317,150.0874096043221,1.7421181612676,2025051500126,60811.043985125616,60811.04381150869,i,1.34841987925317,42.1788033579387,314.733928559014,23.41400146484375,30.0010056495667,62.6845216369431,150.008579191302,2.14657537822305,-1,i,20250515,i_39,0.7614666609319221,150.08721217226102,1.7421942972739175,745262192402628660,0,3263.08512511358,93.86927729635322,0.0036076729,0.003889801,150.08721217226102,1.7421942972739175,2.1293009e-07,2.0384532e-07,804505.4863270771,1255.7659366086975,791414.8582347299,939.5337141715664,False,804385.5604506506,1089.12721535873,False,812047.2304350835,1372.32805545928,False,814340.3462443732,1865.5616282788064,False,816066.7804753575,2513.704070787225,False,4.244731508819634,38.74083342945391,805752.2007751054,933.7898833494075,0.0,0.0018433744619693,False,1346296.125,1822.8668212890625,False,1359119.4240722656,2296.8586634729404,False,1365846.925048828,4207.174042261028,False,False,7.104386084190374,64.84034086355791,False,False,0.5951313950137838,0.00017631779919015237,0.5951313950137838,31.963467846898908,2025051500126,86,R21_S12
2MASS J10002097+0144317,150.0874096043221,1.7421181612676,2025051500127,60811.04445870916,60811.04428509153,i,1.34727578035436,42.1246010957898,314.818484430227,23.204753875732425,30.0011277198792,61.90898188234289,150.257475514334,2.13893030476254,-1,i,20250515,i_39,0.7590986444840008,150.08721281401776,1.7421941324388872,745262192538943633,0,1274.7832288801403,341.77201553868247,0.004243068,0.0042378283,150.08721281401776,1.7421941324388872,2.3552353e-07,2.3566126e-07,805037.1249670138,1449.786568876824,786757.366060164,1043.8786324564214,False,803167.1749352659,1234.273450386538,False,810764.6873900815,1589.8228175057045,False,815643.1785581224,2192.060769798049,False,815078.5330394885,2976.9836425758217,False,1.989498203194202,45.03126478898951,799390.8904083591,998.7183147453648,0.0,0.0006033238239262,False,1215134.875,1867.3680419921875,False,1226629.3715820312,2405.288974586948,False,1233155.9135742188,4503.964752655605,False,False,3.009969438362516,68.12910439831028,False,False,0.6651363609936429,0.00021550023412793642,0.6651363609936429,31.842723274876903,2025051500127,90,R22_S00
2MASS J10002097+0144317,150.0874096043221,1.7421181612676,2025051500128,60811.0449378077,60811.0447641909,i,1.35398666744178,42.4388014264473,314.484956234345,22.913116455078125,30.000983953476,60.8001529111951,150.059933281567,2.24826985799499,-1,i,20250515,i_39,0.7653030035537512,150.08721075446604,1.7421935755206266,745262192669492013,0,2199.3547718832,2383.7563309348507,0.005259457,0.0049555735,150.08721075446604,1.7421935755206266,2.7946052e-07,2.8824724e-07,807235.6747121001,1698.2986597455797,783021.1774440352,1182.7882083965185,False,807430.3309712935,1425.8206820843902,False,822179.6059457716,1870.699326449849,False,831210.3328176009,2609.2010964957176,False,829555.4846049504,3567.036580070416,False,3.321079841164681,55.77396908590954,802819.7251851773,1102.979731739602,0.0,0.0007283753111795,False,1079837.0,1906.856689453125,False,1099562.3090820312,2501.826189939655,False,1109426.6235351562,4770.464932720543,False,False,4.4415285813324825,74.59070231281979,False,False,0.7435333505031042,0.00023175542742790312,0.7435333505031042,31.721748867066125,2025051500128,83,R21_S02
2MASS J10002097+0144317,150.0874096043221,1.7421181612676,2025051500129,60811.04541385244,60811.04524023525,i,1.35846090575357,42.6456832294959,314.264557374484,23.265914916992188,30.0010495185852,59.7800649619012,149.986389229621,2.31879454970335,-1,i,20250515,i_39,0.7648899925741189,150.0872117414226,1.7421958125495565,745262192803710104,0,516.2793541856528,2737.8066989478534,0.004321526,0.004366446,150.0872117414226,1.7421958125495565,2.4197644e-07,2.4071184e-07,803661.8880830179,1323.671263906987,785793.11291496,971.2112818127304,False,804234.2889701782,1136.7189668379276,False,815976.7705073293,1448.3072808144789,False,821015.1851276706,1978.18424348306,False,821788.8189540493,2674.5135374775355,False,3.680738889048693,41.7855019198883,802815.3479062243,954.9836761527108,0.0,0.0003574875909466,False,1307805.875,1848.4759521484373,False,1326900.9155273438,2355.165399724315,False,1336352.1801757812,4349.161140044171,False,False,5.98543485332214,67.94950880623304,False,False,0.6112375553160293,0.0001853586190614885,0.6112375553160293,31.934474924834795,2025051500129,83,R21_S02
2MASS J10002097+0144317,150.0874096043221,1.7421181612676,2025051500130,60811.04589065211,60811.04571703529,i,1.35276030118439,42.3819314943826,314.042629103233,23.07907485961914,30.0009868144989,58.7798426466038,150.205132907785,2.0191049154497,-1,i,20250515,i_39,0.7620304151948316,150.08721235670336,1.7421952047052665,745262192941597463,0,2979.269183771021,2009.034582056505,0.0041025737,0.0054177525,150.08721235670336,1.7421952047052665,2.8316467e-07,2.4977234e-07,800263.8861961636,1539.9979872504798,777109.6033330021,1090.416121811257,False,798760.521087041,1302.2912196142188,False,810110.9490219591,1688.7821880205572,False,814795.705736732,2344.451916036018,False,815148.7514363716,3192.3828336016827,False,2.901287216217402,48.8889651587414,793483.1198942787,1030.7995833551122,0.0,0.0006736718717428,False,1159154.375,1889.873779296875,False,1175626.0180664062,2450.746137280345,False,1182936.833454609,4632.758418265701,False,False,4.210322970435718,70.94724433282593,False,False,0.6819165429636557,0.00022074068736554594,0.6819165429636557,31.81567193413668,2025051500130,90,R22_S00
2MASS J10002097+0144317,150.0874096043221,1.7421181612676,2025051500131,60811.04636302069,60811.04618940348,i,1.35864145819753,42.6538944636557,313.824115226244,23.29401588439941,30.0010547637939,57.755673851424106,150.090348375279,2.13982313283965,-1,i,20250515,i_39,0.7641699444486699,150.08721164143122,1.7421950067328795,745262193075815491,0,109.44820684353256,2522.8802352891908,0.0037143712,0.004201021,150.08721164143122,1.7421950067328795,2.2603969e-07,2.1443869e-07,802276.5014339074,1278.123132268022,784838.9316897528,945.0060149627568,False,802184.3228376568,1100.4383767288796,False,813407.4502131777,1392.9786971729409,False,817781.1648650212,1894.4998393518297,False,820971.8178031747,2558.546628083276,False,3.9531464499154594,38.57993885948207,795538.9836625003,940.0108842565696,0.0,0.0019241496112949,False,1332413.375,1827.807861328125,False,1351054.7827148438,2313.711941711576,False,1363619.057861328,4249.698792118151,False,False,6.566103392009429,64.0805673703738,False,False,0.600135521562845,0.00017714428035123925,0.600135521562845,31.95437666728667,2025051500131,90,R22_S00
