simbad_id,ra_deg,dec_deg,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,V_mag,B_mag,R_mag,I_mag,spectral_type,mesvar.bibcode,mesvar.epoch,mesvar.epoch_prec,mesvar.lowvmax,mesvar.magtyp,mesvar.mespos,mesvar.period,mesvar.period_prec,mesvar.raisingtime,mesvar.raisingtime_prec,mesvar.r_epoch,mesvar.r_period,mesvar.r_raisingtime,mesvar.r_vmax,mesvar.r_vmin,mesvar.upperiod,mesvar.uppvmin,mesvar.vartyp,mesvar.vmax,mesvar.vmax_prec,mesvar.vmin,mesvar.vmin_prec,parallax_mas,pmra_mas_yr,pmdec_mas_yr,simbad_otype,field,stable
ESIS 82817,8.692541666666665,-43.77797222222222,,,,X,2008A&A...488..417F,17.67099952697754,18.5939998626709,17.156999588012695,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,ELAIS-S1,True
ESIS 59314,8.68065237025,-43.28704483141,0.0816,0.0892,90,O,2020yCat.1350....0G,19.47599983215332,21.165000915527344,18.415000915527344,,,,,,,,,,,,,,,,,,,,,,,,,3.7564,10.21,-19.749,*,ELAIS-S1,True
ESIS 54161,8.877333333333334,-43.39066666666667,,,,X,2008A&A...488..417F,17.43400001525879,19.086999893188477,16.445999145507812,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,ELAIS-S1,True
ESIS 101485,8.440875,-43.359638888888895,,,,X,2008A&A...488..417F,20.593000411987305,22.01099967956543,19.572999954223633,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,ELAIS-S1,True
ESIS 94528,8.804833333333333,-43.51152777777778,,,,X,2008A&A...488..417F,19.34600067138672,21.007999420166016,18.27899932861328,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,ELAIS-S1,True
ESIS 131219,8.323041666666667,-43.54375,,,,X,2008A&A...488..417F,19.996999740600586,21.256999969482422,19.1200008392334,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,ELAIS-S1,True
