simbad_id,ra_deg,dec_deg,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,V_mag,B_mag,R_mag,I_mag,spectral_type,mesvar.bibcode,mesvar.epoch,mesvar.epoch_prec,mesvar.lowvmax,mesvar.magtyp,mesvar.mespos,mesvar.period,mesvar.period_prec,mesvar.raisingtime,mesvar.raisingtime_prec,mesvar.r_epoch,mesvar.r_period,mesvar.r_raisingtime,mesvar.r_vmax,mesvar.r_vmin,mesvar.upperiod,mesvar.uppvmin,mesvar.vartyp,mesvar.vmax,mesvar.vmax_prec,mesvar.vmin,mesvar.vmin_prec,parallax_mas,pmra_mas_yr,pmdec_mas_yr,simbad_otype,field,stable
[GGH2002] EIS J033201.84-275936.2,53.00765598067,-27.99337746157,0.1057,0.1993,90,O,2020yCat.1350....0G,19.950000762939453,20.81999969482422,,,,,,,,,,,,,,,,,,,,,,,,,,0.2218,1.806,-3.155,*,ECDFS,True
2MASS J03320534-2758524,53.02224865026,-27.98125552413,0.0401,0.0687,90,O,2020yCat.1350....0G,17.360000610351562,17.8799991607666,,,,,,,,,,,,,,,,,,,,,,,,,,1.1131,12.45,-3.912,*,ECDFS,True
[GGH2002] EIS J033153.58-275847.5,52.97325666699,-27.979842117830003,0.1224,0.2228,90,O,2020yCat.1350....0G,19.8799991607666,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.2988,5.752,-2.126,*,ECDFS,True
[WDK2001] 13825,52.963464526589995,-27.962006535429996,0.0538,0.096,90,O,2020yCat.1350....0G,19.010000228881836,19.989999771118164,18.280000686645508,,,,,,,,,,,,,,,,,,,,,,,,,0.8376,0.195,2.959,*,ECDFS,True
2MASS J03311695-2801150,52.82065547451,-28.020825392139997,0.0431,0.0754,90,O,2020yCat.1350....0G,18.299999237060547,18.989999771118164,,,,,,,,,,,,,,,,,,,,,,,,,,0.7333,7.9,-2.495,*,ECDFS,True
2MASS J03311212-2800076,52.800537884449994,-28.0021142096,0.0538,0.0974,90,O,2020yCat.1350....0G,19.489999771118164,20.59000015258789,,,,,,,,,,,,,,,,,,,,,,,,,,2.345,1.571,-10.767,*,ECDFS,True
[TBV2008] 7,52.81811657633,-27.959725693929997,0.0873,0.1614,90,O,2020yCat.1350....0G,19.200000762939453,19.469999313354492,18.959999084472656,,,,,,,,,,,,,,,,,,,,,,,,,0.1588,4.53,-5.986,*,ECDFS,True
2MASS J03312605-2758093,52.85867197904,-27.969199904100005,0.0575,0.1057,90,O,2020yCat.1350....0G,18.989999771118164,19.829999923706055,,,,,,,,,,,,,,,,,,,,,,,,,,0.2518,1.853,3.105,*,ECDFS,True
2MASS J03312358-2757244,52.84827743834,-27.956820089939995,0.0395,0.0704,90,O,2020yCat.1350....0G,18.690000534057617,19.739999771118164,,,,,,,,,,,,,,,,,,,,,,,,,,2.2625,-6.583,-22.448,*,ECDFS,True
2MASS J03325932-2746386,53.24723341140001,-27.777359858980002,0.0193,0.0315,90,O,2020yCat.1350....0G,17.030000686645508,17.84000015258789,,,,,,,,,,,,,,,,,,,,,,,,,,1.3133,9.551,11.85,*,ECDFS,True
[MBR2003] CDFS-H 2847,53.01269424033,-27.81912136719,0.0748,0.1426,90,O,2020yCat.1350....0G,19.010000228881836,19.520000457763672,,,,,,,,,,,,,,,,,,,,,,,,,,0.0939,1.921,-1.696,*,ECDFS,True
VCDFS  26293,52.96874920181,-27.78308207009,0.0972,0.1771,90,O,2020yCat.1350....0G,19.59000015258789,20.187999725341797,19.319000244140625,18.889999389648438,,,,,,,,,,,,,,,,,,,,,,,,0.1863,14.7,-10.408,*,ECDFS,True
[MBR2003] CDFS-H 3512,53.36629567236,-27.829986310049996,0.0519,0.0864,90,O,2020yCat.1350....0G,18.59000015258789,19.100000381469727,,,,,,,,,,,,,,,,,,,,,,,,,,0.0081,2.071,-1.648,*,ECDFS,True
[MBR2003] CDFS-H 3489,53.32987773472,-27.815496166870005,0.0967,0.164,90,O,2020yCat.1350....0G,19.469999313354492,19.843000411987305,19.375999450683594,,,,,,,,,,,,,,,,,,,,,,,,,0.306,3.896,-2.303,*,ECDFS,True
[GGH2002] EIS J033342.26-274627.1,53.42605118413,-27.774174088359995,0.0908,0.1545,90,O,2020yCat.1350....0G,19.219999313354492,19.610000610351562,,,,,,,,,,,,,,,,,,,,,,,,,,0.2654,8.777,-1.516,*,ECDFS,True
[GGH2002] EIS J033340.16-274034.5,53.41734715019,-27.67624510936,0.1063,0.1803,90,O,2020yCat.1350....0G,19.899999618530273,20.799999237060547,,,,,,,,,,,,,,,,,,,,,,,,,,0.3112,7.078,2.404,*,ECDFS,True
