simbad_id,target_ra,target_dec,visit,expMidptMJD,obsStartMJD,band_visit,airmass,zenithDistance,azimuth,mean_maglim,expTime,skyRotation,ra_visit,dec_visit,detector,band,day_obs,physical_filter,sep_arcsec,src_ra,src_dec,sourceId,parentSourceId,x,y,xErr,yErr,ra,dec,raErr,decErr,calibFlux,calibFluxErr,ap09Flux,ap09FluxErr,ap09Flux_flag,ap12Flux,ap12FluxErr,ap12Flux_flag,ap17Flux,ap17FluxErr,ap17Flux_flag,ap25Flux,ap25FluxErr,ap25Flux_flag,ap35Flux,ap35FluxErr,ap35Flux_flag,sky,skyErr,psfFlux,psfFluxErr,extendedness,sizeExtendedness,apFlux_12_0_flag,apFlux_12_0_instFlux,apFlux_12_0_instFluxErr,apFlux_17_0_flag,apFlux_17_0_instFlux,apFlux_17_0_instFluxErr,apFlux_35_0_flag,apFlux_35_0_instFlux,apFlux_35_0_instFluxErr,extendedness_flag,sizeExtendedness_flag,localBackground_instFlux,localBackground_instFluxErr,localBackground_flag,sky_source,calib_mean,calib_err,calib_local,zeropoint,visit_from_image,detector_id,detector_name,fgcm_pwv,fgcm_o3,fgcm_tau,fgcm_alpha,fgcm_pmb,fgcm_atm_flag,fgcm_zeropoint,fgcm_zeropoint_err,fgcm_zpt_flag,fgcm_flag
2MASS J09595744+0140259,149.98935432162,1.6738555457699995,2025051500122,60811.04208450287,60811.04191088608,i,1.3389695653925,41.7286617120772,315.863814892458,23.0947322845459,30.0009815692902,66.9260943836124,150.196619943333,2.24904378466042,-1,i,20250515,i_39,0.172415124231274,149.98932845407617,1.673815232135066,745262191843738870,0,2347.740038857649,3165.6845481303,0.0065077576,0.006849558,149.98932845407617,1.673815232135066,3.7769334e-07,3.6448145e-07,421772.8789919537,1336.486864961088,410110.3756578531,897.1477712153588,False,421598.1108015374,1106.9868055829936,False,427568.7250623578,1484.4305731348034,False,429117.4684203997,2104.8337233296925,False,428476.3185461077,2897.038761776703,False,0.5963897401189375,45.42087412714211,422002.6898382483,773.2142849533848,0.0,0.0003482919385531,False,637531.375,1673.9610595703125,False,646560.0063476562,2244.7232094646715,False,647932.44921875,4380.838191405538,False,False,0.9018474260500228,68.6844451957474,False,False,0.6576073179379583,0.0001653027481121,0.6576073179379583,31.855083406392065,2025051500122,44,R11_S22,2.0770942124512453,285.37738205072054,0.03772071711912444,0.9734682324016911,741.7999877929688,True,,,False,True
2MASS J09595744+0140259,149.98935432162,1.6738555457699995,2025051500123,60811.04255635306,60811.04238273554,i,1.33940659072419,41.7500538298419,315.648969791581,23.38398170471192,30.0011069774628,65.9196921779908,150.239941185581,2.17983774353643,-1,i,20250515,i_39,0.1760283306936249,149.98932687745253,1.6738150691929472,745262191977956706,0,3931.4949669270577,2824.000290076808,0.0049849534,0.005794948,149.98932687745253,1.6738150691929472,3.1490976e-07,2.8492337e-07,422704.90333367634,1157.7403133687185,412806.5626157759,799.2172124688304,False,420964.5147764773,970.6936278222264,False,424386.46229458624,1282.8513356118715,False,423813.9360762864,1800.0332562056533,False,421932.2920648462,2470.7448702392207,False,0.675942688910063,38.342490349698856,421410.9837115457,704.3630115976101,0.0,9.793812476566188e-07,False,697858.6875,1609.1783447265625,False,703531.4597167969,2126.661316816881,False,699463.03125,4095.905264623143,False,False,1.1205516406969982,63.56269721482336,False,False,0.6048043326100484,0.0001637356968701,0.6048043326100484,31.945962765898837,2025051500123,44,R11_S22,2.077145463526791,285.37738205072054,0.03772712780978906,0.9734682324016911,741.6500244140625,True,,,False,True
2MASS J09595744+0140259,149.98935432162,1.6738555457699995,2025051500125,60811.04351116055,60811.043337543146,i,1.34177186520949,41.8631375989711,315.055045014038,23.453569412231445,30.001086473465,63.78252165020189,150.201346740288,2.02906366294868,-1,i,20250515,i_39,0.1801616389954638,149.98932710338624,1.673813542296032,745262192270508119,0,2086.9989653699413,156.29255796591028,0.004860931,0.0053281253,149.98932710338624,1.673813542296032,2.9114508e-07,2.7536015e-07,419111.35824104166,1140.4951075575975,410881.530061565,789.0250316399416,False,417580.0000135485,956.891588853716,False,420776.7087546276,1263.3300112472034,False,420636.0436385655,1774.2421690310562,False,417448.9878648436,2431.9827995092537,False,0.40121393538994,37.36680185850274,416969.5252694868,684.4270248738475,0.0,4.159867943542839e-05,False,702138.8125,1608.962890625,False,707513.91015625,2124.222984491458,False,701918.5224609375,4089.251196926217,False,False,0.674620135408794,62.83031247425799,False,False,0.5977693962763196,0.0002423183759638,0.5977693962763196,31.958665807753977,2025051500125,90,R22_S00,2.07724917597067,285.37738205072054,0.037740103428641154,0.9734682324016911,741.6500244140625,True,,,False,True
2MASS J09595744+0140259,149.98935432162,1.6738555457699995,2025051500126,60811.043985125616,60811.04381150869,i,1.34841987925317,42.1788033579387,314.733928559014,23.41400146484375,30.0010056495667,62.6845216369431,150.008579191302,2.14657537822305,-1,i,20250515,i_39,0.179360607690879,149.98932769054878,1.6738134309056183,745262192401056843,0,2980.4433160478297,2188.6601430010123,0.0051438166,0.0056570815,149.98932769054878,1.6738134309056183,3.0851825e-07,2.9201632e-07,422303.0824762968,1148.4308969610768,414555.15095657686,794.86321153256,False,422272.2273172174,964.4103671739032,False,426139.91390738176,1276.2092692586475,False,429739.5491039595,1794.1349852590038,False,429511.793962039,2457.8575171140683,False,2.640713547296019,38.811355592400666,422587.017483688,698.8809897355977,0.0,5.8942635989933656e-05,False,707977.5,1616.9210205078125,False,714462.0256347656,2139.6800203197367,False,720115.2868652344,4120.819953937983,False,False,4.427394591655967,65.07074045217108,False,False,0.5938158564243158,0.0001756908416342,0.5938158564243158,31.965870524488697,2025051500126,83,R21_S02,2.077300660602394,285.37738205072054,0.037746546164629094,0.9734682324016911,741.7999877929688,True,,,False,True
2MASS J09595744+0140259,149.98935432162,1.6738555457699995,2025051500127,60811.04445870916,60811.04428509153,i,1.34727578035436,42.1246010957898,314.818484430227,23.204753875732425,30.0011277198792,61.90898188234289,150.257475514334,2.13893030476254,-1,i,20250515,i_39,0.1821413947613588,149.98932668057273,1.673813161086505,745262192518497230,0,1020.0208837474462,2458.2510369799465,0.0063057016,0.006128574,149.98932668057273,1.673813161086505,3.4269647e-07,3.481762e-07,421853.5991600158,1335.0486449646994,412806.4454135789,898.7120629737184,False,422116.1694227377,1108.0529579883778,False,428964.2865563132,1483.567097874157,False,430617.2296840404,2104.583139467969,False,431894.89598105534,2896.5953863878826,False,1.686781520935368,45.56049122128403,420669.7767926597,756.0803344887141,0.0,7.749045950578015e-06,False,643207.8125,1688.41748046875,False,653642.765625,2260.6145342064897,False,658108.3393554688,4413.7441707670905,False,False,2.5702665068006727,69.42369427578014,False,False,0.6537796575064256,0.0001716242676115,0.6537796575064256,31.86142149177728,2025051500127,51,R12_S20,2.0773521050656423,285.37738205072054,0.037752984813015984,0.9734682324016911,741.6500244140625,True,,,False,True
2MASS J09595744+0140259,149.98935432162,1.6738555457699995,2025051500128,60811.0449378077,60811.0447641909,i,1.35398666744178,42.4388014264473,314.484956234345,22.913116455078125,30.000983953476,60.8001529111951,150.059933281567,2.24826985799499,-1,i,20250515,i_39,0.1775890926169328,149.98932701721915,1.6738144533785742,745262192669491287,0,1984.8522412111963,245.9181804499329,0.007812914,0.0074936007,149.98932701721915,1.6738144533785742,4.2064042e-07,4.298145e-07,416949.7707703341,1581.1762201471415,407127.9395657816,1038.053214443616,False,418062.6205666047,1298.77389415962,False,425725.0667591744,1761.297252750951,False,432748.6823443429,2518.5491049058005,False,428731.4559129943,3479.9790147218205,False,1.920102258507783,54.17319930195389,418373.385739592,855.8878008286,0.0,2.935848018070785e-05,False,565478.6875,1756.743896484375,False,575843.0439453125,2382.3609425619225,False,579909.5375976562,4707.079439691081,False,False,2.5971633233681644,73.27560066821212,False,False,0.7435333505031042,0.0002317554274279,0.7435333505031042,31.721748867066125,2025051500128,83,R21_S02,2.077404149908369,285.37738205072054,0.03775949955854502,0.9734682324016911,741.6500244140625,True,,,False,True
2MASS J09595744+0140259,149.98935432162,1.6738555457699995,2025051500129,60811.04541385244,60811.04524023525,i,1.35846090575357,42.6456832294959,314.264557374484,23.265914916992188,30.0010495185852,59.7800649619012,149.986389229621,2.31879454970335,-1,i,20250515,i_39,0.1802370832314304,149.98932807011727,1.673812907329957,745262192803709191,0,339.69462718990803,596.2966261989524,0.006044349,0.0065465476,149.98932807011727,1.673812907329957,3.5684775e-07,3.430119e-07,422579.6624498632,1217.2832725827031,411802.2532589522,831.1197948325804,False,422124.947758838,1016.3390050555524,False,427028.7006237512,1352.998569594606,False,427654.5956635434,1908.114056722355,False,428386.27355203865,2621.2551061168824,False,0.9173221417983118,40.69148174223231,421746.7088899575,726.013410815001,0.0,0.0002680827674432,False,686533.0625,1652.9473876953125,False,694508.3989257812,2200.481768427904,False,696716.3203125,4263.141293000038,False,False,1.491908930404289,66.17957011656554,False,False,0.6112375553160293,0.0001853586190614,0.6112375553160293,31.934474924834795,2025051500129,83,R21_S02,2.077455864305186,285.37738205072054,0.03776597389211634,0.9734682324016911,741.7999877929688,True,,,False,True
2MASS J09595744+0140259,149.98935432162,1.6738555457699995,2025051500131,60811.04636302069,60811.04618940348,i,1.35864145819753,42.6538944636557,313.824115226244,23.29401588439941,30.0010547637939,57.755673851424106,150.090348375279,2.13982313283965,-1,i,20250515,i_39,0.1729805289381823,149.98933158858728,1.6738132082361283,745262193075814560,0,10.629374312055456,376.5681550889639,0.04835774,0.028905265,149.98933158858728,1.6738132082361283,1.9765416e-06,2.4272658e-06,,,520261.64891280537,852.9498659641374,True,,,True,,,True,,,True,,,True,2.8758555893990283,38.24021985736808,454302.1443059779,732.6439746865315,,,True,,,True,,,True,,,True,True,4.793081603594272,63.733552891664274,True,False,0.600135521562845,0.0001771442803512,0.600135521562845,31.95437666728667,2025051500131,90,R22_S00,2.0775589796000475,285.37738205072054,0.03777888614353205,0.9734682324016911,741.6500244140625,True,,,False,True
2MASS J09595744+0140259,149.98935432162,1.6738555457699995,2025051500132,60811.04684006958,60811.0466664529,i,1.36161902477818,42.7900092110166,313.594424871381,22.890514373779297,30.0009620189667,56.7294069862746,150.055190445815,2.14862204899509,-1,i,20250515,i_39,0.1837369648006594,149.9893263703315,1.6738128342472056,745262193206362463,0,3888.744954083039,703.7608164035222,0.006872256,0.0062784804,149.9893263703315,1.6738128342472056,3.591121e-07,3.7215509e-07,422564.6832073919,1702.0209113714095,414646.5142593015,1112.3784881547056,False,422702.3871273315,1396.7186480651133,False,428253.9081229977,1906.5844594924,False,432046.24483588303,2727.6750859551985,False,427598.97696725634,3769.92956053252,False,1.3523840386547843,58.94590632758982,422564.3094038764,861.2766176516129,0.0,9.163366356035318e-06,False,545564.125,1802.685791015625,False,552729.2387695312,2460.748067808376,False,551883.9467773438,4865.68892118417,False,False,1.745464982411871,76.07899266075412,False,False,0.78083161367056,0.0002687453645887,0.78083161367056,31.668606529065706,2025051500132,83,R21_S02,2.0776108069454926,285.37738205072054,0.03778537746612972,0.9734682324016911,741.6500244140625,True,,,False,True
2MASS J09595744+0140259,149.98935432162,1.6738555457699995,2025051500133,60811.04731837158,60811.04714475416,i,1.363066449104,42.8558764213545,313.225573065346,22.856348037719727,30.0010902881622,55.5992392790691,149.991628290553,2.0421675739466,-1,i,20250515,i_39,0.180604217073501,149.98932779315325,1.6738129587662998,745262193344250665,0,668.5593150948587,2601.381092680579,0.0078995,0.007433699,149.98932779315325,1.6738129587662998,4.21537e-07,4.3079433e-07,424635.5657394912,1979.8926527472647,416471.41052648687,1275.4942413488714,False,426385.6016316069,1617.1030532952502,False,432230.2920790838,2224.8381034645417,False,440919.42188453657,3201.677971884859,False,447748.18073672056,4433.843358946594,False,6.798906391114959,68.93168219686471,422599.1308447269,954.2355816504833,0.0,0.0003582745909433,False,485370.375,1840.8077392578125,False,492023.6005859375,2532.614845484091,False,509688.1826171875,5047.20657918117,False,False,7.739444606050562,78.46746304107126,False,False,0.8739533838873748,0.0002964795364533,0.8739533838873748,31.546279329341917,2025051500133,90,R22_S00,2.0776627717286864,285.37738205072054,0.03779188695985784,0.9734682324016911,741.6500244140625,True,,,False,True
