,simbad_id,ra_deg,dec_deg,V_mag,B_mag,R_mag,I_mag,simbad_otype,spectral_type,mk_class,mk_subtype,lum_class,parallax_mas,pmra_mas_yr,pmdec_mas_yr,stable,field
2416,VVDS 020375868,36.42229864490999,-4.17813712859,17.993000030517578,18.69700050354004,17.792999267578125,17.690000534057617,*,,?,,unknown,,-0.003,-1.996,True,XMM-LSS
2417,2MASS J02271162-0446026,36.79842236395001,-4.767408061019999,18.011999130249023,17.86199951171875,17.9950008392334,17.81599998474121,*,,?,,unknown,0.2681,4.376,-3.414,True,XMM-LSS
2418,VVDS 020321613,36.96763552874,-4.29578504516,18.12700080871582,18.809999465942383,18.06800079345703,17.517000198364258,*,,?,,unknown,0.6374,9.522,-16.05,True,XMM-LSS
2419,VVDS J022632.21-042631.1,36.63423333324,-4.44207108334,18.145000457763672,18.49399948120117,18.201000213623047,17.891000747680664,*,,?,,unknown,0.14,-2.716,-8.695,True,XMM-LSS
2420,2MASS J02265845-0432248,36.74360048748,-4.540289998729999,18.21500015258789,18.61400032043457,18.030000686645508,17.687999725341797,*,,?,,unknown,0.5907,9.99,-9.369,True,XMM-LSS
2421,VIDEO J022519.41-043105.11,36.33093125642,-4.518138769389999,18.21999931335449,18.66399955749512,18.10400009155273,18.02400016784668,*,,?,,unknown,,0.373,-1.317,True,XMM-LSS
2422,2MASS J02254038-0422043,36.41831440891,-4.367930950389999,18.225000381469727,19.167999267578125,17.86199951171875,17.552000045776367,*,,?,,unknown,0.6147,1.294,-11.023,True,XMM-LSS
2423,2MASS J02260171-0422438,36.50722383023,-4.378817657229999,18.23500061035156,18.91900062561035,18.073999404907227,17.798999786376953,*,,?,,unknown,0.4465,-0.786,-15.148,True,XMM-LSS
2424,VIDEO J022748.54-041215.38,36.95221943596,-4.204285575660001,18.24300003051757,18.69099998474121,18.29899978637696,17.891000747680664,*,,?,,unknown,0.3524,19.499,-4.283,True,XMM-LSS
2425,2MASS J02262834-0434132,36.6181636135,-4.570385515599999,18.395000457763672,19.15399932861328,18.138999938964844,17.756999969482422,*,,?,,unknown,0.2457,2.983,-0.873,True,XMM-LSS
2426,VIDEO J022635.05-043706.62,36.64605586137,-4.61850379445,18.48900032043457,19.05500030517578,18.292999267578125,18.010000228881836,*,,?,,unknown,,3.165,-2.52,True,XMM-LSS
2427,VIDEO J022549.64-043720.22,36.45687650132,-4.62227693281,18.57299995422364,19.05699920654297,18.44799995422364,18.268999099731445,*,,?,,unknown,0.3197,5.503,-8.802,True,XMM-LSS
2428,2MASS J02253945-0432581,36.41441061634,-4.54953117158,18.66399955749512,19.437000274658203,18.356000900268555,18.0629997253418,*,,?,,unknown,0.5329,23.326,-25.878,True,XMM-LSS
2429,VIDEO J022657.44-044822.24,36.7394125,-4.806130555555556,18.770999908447266,19.981000900268555,18.246999740600582,17.645000457763672,*,,?,,unknown,,,,True,XMM-LSS
2430,VIDEO J022644.64-044616.95,36.68602097304,-4.77137231193,18.94099998474121,19.69599914550781,18.69099998474121,18.42399978637696,*,,?,,unknown,0.1546,4.883,-3.075,True,XMM-LSS
2431,VIDEO J022529.82-043400.93,36.37428486411,-4.56692517513,18.95800018310547,19.518999099731445,18.78300094604492,18.625,*,,?,,unknown,0.037,8.683,-16.123,True,XMM-LSS
