,simbad_id,ra_deg,dec_deg,V_mag,B_mag,R_mag,I_mag,simbad_otype,spectral_type,mk_class,mk_subtype,lum_class,parallax_mas,pmra_mas_yr,pmdec_mas_yr,stable,field
2410,ESIS 54161,8.877333333333334,-43.39066666666667,17.43400001525879,19.08699989318848,16.445999145507812,,*,,?,,unknown,,,,True,ELAIS-S1
2411,ESIS 82817,8.692541666666665,-43.77797222222222,17.67099952697754,18.5939998626709,17.156999588012695,,*,,?,,unknown,,,,True,ELAIS-S1
2412,ESIS 94528,8.804833333333333,-43.51152777777778,19.34600067138672,21.007999420166016,18.27899932861328,,*,,?,,unknown,,,,True,ELAIS-S1
2413,ESIS 59314,8.68065237025,-43.28704483141,19.47599983215332,21.165000915527344,18.415000915527344,,*,,?,,unknown,3.7564,10.21,-19.749,True,ELAIS-S1
2414,ESIS 131219,8.323041666666667,-43.54375,19.996999740600582,21.256999969482425,19.1200008392334,,*,,?,,unknown,,,,True,ELAIS-S1
2415,ESIS 101485,8.440875,-43.359638888888895,20.593000411987305,22.01099967956543,19.57299995422364,,*,,?,,unknown,,,,True,ELAIS-S1
